Date,Tm,,Opp,Result2,Result,GS,MP2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,plmi
4/8/00,LAL,,SAS,L,0,1,38:43:00,38,12,30,0.4,0,3,0,2,4,0.5,3,5,8,5,1,0,0,1,26,16.7,-11
4/10/00,LAL,,SEA,W,1,1,44:57:00,44,13,28,0.464,0,3,0,7,9,0.778,3,7,10,6,2,0,1,5,33,25.2,16
4/14/00,LAL,,SAC,W,1,1,39:46:00,39,13,21,0.619,1,2,0.5,4,6,0.667,1,4,5,5,3,3,1,1,31,29.8,10
4/16/00,LAL,,MIN,W,1,1,41:26:00,41,7,18,0.389,0,4,0,11,11,1,1,2,3,10,2,1,6,1,25,19.8,7
4/18/00,LAL,@,DAL,L,0,1,42:46:00,42,7,20,0.35,1,5,0.2,1,1,1,8,6,14,6,2,1,6,3,16,11.9,-10
4/19/00,LAL,@,SAS,L,0,1,42:38:00,42,9,21,0.429,2,5,0.4,3,4,0.75,6,1,7,1,1,0,1,5,23,14.7,-9
4/23/00,LAL,,SAC,W,1,1,38:39:00,38,11,22,0.5,0,1,0,1,2,0.5,5,2,7,5,0,0,3,5,23,14.2,4
4/27/00,LAL,,SAC,W,1,1,36:45:00,36,12,20,0.6,3,3,1,5,6,0.833,0,4,4,1,2,0,1,2,32,24.5,17
4/30/00,LAL,@,SAC,L,0,1,37:32:00,37,13,25,0.52,2,6,0.333,7,9,0.778,1,2,3,2,2,0,2,5,35,22.6,-12
5/2/00,LAL,@,SAC,L,0,1,45:48:00,45,13,30,0.433,0,3,0,6,8,0.75,2,4,6,4,2,0,7,4,32,14.2,-10
5/5/00,LAL,,SAC,W,1,1,33:54:00,33,7,16,0.438,1,5,0.2,2,2,1,0,2,2,6,0,3,1,2,17,13.7,23
5/7/00,LAL,,PHO,W,1,1,34:27:00,34,8,17,0.471,1,2,0.5,8,10,0.8,3,3,6,1,3,3,3,4,25,19.7,6
5/10/00,LAL,,PHO,W,1,1,33:47:00,33,6,11,0.545,0,1,0,3,4,0.75,0,4,4,6,2,2,5,4,15,11.5,2
